Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
POGK	q<=5.0e-20	56.9	35.9	0.67
ABCC5	q<=5.0e-20	34.6	21.8	0.67
TUBB4B	q<=5.0e-20	424.6	266.6	0.67
PLD2	8.0e-16	27.5	43.8	-0.67
MIR924HG	q<=5.0e-20	1.6	1.0	0.67
TRIM23	2.9e-19	15.8	25.0	-0.67
DENND3	4.0e-09	8.3	13.1	-0.67
ISG20L2	q<=5.0e-20	70.9	44.4	0.67
ZC3H12B	1.1e-15	1.0	1.6	-0.67
FARSA	q<=5.0e-20	93.1	58.5	0.67
EIF3J-DT	3.3e-17	12.0	19.2	-0.67
AUH	q<=5.0e-20	21.3	33.8	-0.67
VPS37D	q<=5.0e-20	6.5	4.1	0.67
SERPINH1	q<=5.0e-20	303.4	190.8	0.67
DIP2C	3.7e-18	14.6	23.1	-0.67
SYNC	1.1e-04	2.6	4.1	-0.67
PPP1R12A	1.3e-13	34.1	54.2	-0.67
ZFP69B	q<=5.0e-20	3.4	2.1	0.67
CSTF2	q<=5.0e-20	21.3	13.4	0.67
MTBP	q<=5.0e-20	6.7	4.2	0.67
GAPDH	q<=5.0e-20	2202.4	1380.8	0.67
GRHL2	q<=5.0e-20	48.9	30.7	0.67
RAPGEF5	2.8e-08	15.9	25.1	-0.66
GANC	q<=5.0e-20	10.0	15.9	-0.66
TPST1	9.7e-13	17.8	28.0	-0.66
CORO1A	2.6e-14	51.8	32.8	0.66
PTEN	1.5e-19	34.6	54.9	-0.66
TMEM170A	1.7e-17	10.0	15.8	-0.66
APH1A	q<=5.0e-20	387.4	245.1	0.66
LGALS9	q<=5.0e-20	71.0	45.0	0.66
COL13A1	1.5e-14	2.6	1.7	0.66
TOM1L2	7.1e-19	31.2	49.2	-0.66
LBX2-AS1	q<=5.0e-20	9.6	6.1	0.66
GPATCH2	q<=5.0e-20	18.0	11.4	0.66
IL21R	q<=5.0e-20	1.6	1.0	0.66
TAPT1-AS1	1.0e-06	2.6	4.1	-0.66
ZFHX4-AS1	4.7e-04	1.0	1.6	-0.66
RPL22	q<=5.0e-20	167.2	264.8	-0.66
TANC1	5.5e-14	18.5	29.3	-0.66
NPAS1	q<=5.0e-20	1.8	1.1	0.66
ORMDL2	q<=5.0e-20	17.0	10.8	0.66
ATG4D	q<=5.0e-20	18.4	11.6	0.66
POLR2J4	1.4e-05	1.1	1.7	-0.66
CARD10	2.0e-13	12.8	20.3	-0.66
SPINDOC	q<=5.0e-20	28.2	17.9	0.66
SIRT6	q<=5.0e-20	26.4	16.7	0.66
ZNF354B	2.2e-13	7.2	11.4	-0.66
PLEKHN1	q<=5.0e-20	3.5	2.2	0.66
ROBO1	2.7e-05	11.8	18.6	-0.66
STX6	q<=5.0e-20	37.5	23.7	0.66
VENTX	1.1e-05	1.0	1.6	-0.66
FAAH	q<=5.0e-20	41.6	26.3	0.66
PRKCE	4.6e-08	5.7	9.0	-0.66
MBLAC2	8.1e-13	5.5	8.7	-0.66
PMVK	q<=5.0e-20	162.5	102.9	0.66
DEPDC7	q<=5.0e-20	2.1	1.3	0.66
ATP13A1	q<=5.0e-20	60.8	38.6	0.66
TRIM56	q<=5.0e-20	20.5	32.4	-0.66
NCDN	q<=5.0e-20	36.0	22.8	0.66
MPHOSPH8	q<=5.0e-20	38.0	60.1	-0.66
ADRM1	q<=5.0e-20	72.5	45.9	0.66
ODC1	4.4e-04	39.9	62.8	-0.66
RAB13	q<=5.0e-20	36.3	23.1	0.66
HECA	8.6e-20	21.0	33.1	-0.66
LHFPL5	q<=5.0e-20	1.9	1.2	0.66
SLC39A7	q<=5.0e-20	259.5	164.4	0.66
PSMD14	q<=5.0e-20	118.6	75.0	0.66
RPH3AL	2.1e-09	14.1	22.3	-0.66
RASAL2-AS1	1.6e-08	1.1	1.7	-0.66
SIAE	3.0e-15	15.2	24.0	-0.66
CCDC93	q<=5.0e-20	14.2	22.4	-0.66
AMMECR1	q<=5.0e-20	10.3	6.5	0.66
LOC644656	q<=5.0e-20	1.6	1.0	0.66
NKTR	4.5e-08	26.4	41.6	-0.66
PSMA5	q<=5.0e-20	67.9	42.9	0.66
TMC6	q<=5.0e-20	23.7	14.9	0.66
FBXL17	q<=5.0e-20	16.3	25.6	-0.66
DNASE2	q<=5.0e-20	105.6	66.7	0.66
VAMP5	6.4e-09	66.1	104.6	-0.66
EMILIN3	9.8e-06	1.0	1.6	-0.66
SLC25A42	q<=5.0e-20	9.0	14.2	-0.66
RABAC1	q<=5.0e-20	25.8	16.4	0.66
CHCHD5	q<=5.0e-20	93.4	59.3	0.66
JOSD2	q<=5.0e-20	44.4	28.1	0.66
CIART	1.5e-19	15.6	9.8	0.66
MSANTD4	q<=5.0e-20	10.7	17.0	-0.66
B3GAT3	q<=5.0e-20	63.0	39.7	0.66
UBR3	7.2e-11	20.3	32.1	-0.66
GLG1	q<=5.0e-20	57.3	90.1	-0.66
EML1	8.4e-12	10.3	16.2	-0.66
IGSF3	q<=5.0e-20	34.2	21.6	0.66
ACBD4	3.1e-13	12.2	19.3	-0.66
C1orf53	q<=5.0e-20	6.4	4.0	0.66
ZNF93	q<=5.0e-20	10.1	6.4	0.66
SLC35F2	q<=5.0e-20	16.3	10.3	0.66
IFFO1	4.7e-11	7.6	12.0	-0.66
HLA-DQB1	2.1e-18	123.0	77.6	0.66
RHOT2	q<=5.0e-20	76.0	48.2	0.66
MCFD2	q<=5.0e-20	69.5	109.9	-0.66
LSM7	q<=5.0e-20	143.2	90.9	0.66
GNAO1	2.9e-04	1.5	2.4	-0.66
NABP2	q<=5.0e-20	77.1	49.0	0.66
ZNF33B	9.3e-10	20.1	31.7	-0.66
EN1	1.2e-19	2.1	3.4	-0.66
PLPPR2	q<=5.0e-20	43.0	27.2	0.66
NMRK1	q<=5.0e-20	26.1	41.2	-0.66
LMTK3	q<=5.0e-20	5.2	3.3	0.66
BAIAP2L1	q<=5.0e-20	21.8	13.8	0.66
VEGFB	2.1e-11	102.8	162.0	-0.66
MEX3D	q<=5.0e-20	23.6	14.9	0.66
SMTN	9.7e-11	30.8	48.1	-0.65
TMEM205	q<=5.0e-20	67.3	42.9	0.65
ACAD8	q<=5.0e-20	28.8	45.1	-0.65
KIAA1328	7.9e-09	4.9	7.7	-0.65
SAMSN1	2.3e-15	10.2	6.5	0.65
TRIM62	q<=5.0e-20	11.4	7.3	0.65
PEX11A	1.3e-08	27.8	43.6	-0.65
CYHR1	q<=5.0e-20	75.7	48.1	0.65
TPCN1	q<=5.0e-20	30.8	48.2	-0.65
TECPR2	q<=5.0e-20	12.8	20.2	-0.65
TTC21B	8.5e-15	9.9	15.4	-0.65
NSD2	q<=5.0e-20	32.0	20.4	0.65
GYPE	3.2e-08	1.0	1.6	-0.65
VARS2	q<=5.0e-20	29.8	19.0	0.65
TMEM191C	1.2e-17	1.6	1.0	0.65
ZNF470	7.8e-16	3.1	4.8	-0.65
SPATA25	1.9e-04	1.3	2.0	-0.65
CD24	q<=5.0e-20	819.3	522.9	0.65
BICRAL	2.1e-14	16.7	26.2	-0.65
LANCL1	3.3e-18	45.5	71.4	-0.65
RAB8A	q<=5.0e-20	24.8	15.8	0.65
BOLA1	q<=5.0e-20	42.1	26.9	0.65
TXN	q<=5.0e-20	584.4	371.8	0.65
PSMD4	q<=5.0e-20	347.5	222.1	0.65
TBC1D13	q<=5.0e-20	29.8	46.8	-0.65
SLC25A33	7.5e-10	7.2	11.4	-0.65
FAHD1	q<=5.0e-20	52.8	33.6	0.65
GRB14	5.2e-09	1.9	3.0	-0.65
CCDC121	q<=5.0e-20	5.2	8.1	-0.65
WRN	5.2e-16	6.8	10.6	-0.65
DPYSL3	4.3e-11	74.1	116.0	-0.65
ECE1	q<=5.0e-20	129.7	203.4	-0.65
TRAPPC14	q<=5.0e-20	15.4	9.8	0.65
MIR1244-2	4.4e-11	59.8	38.0	0.65
THYN1	q<=5.0e-20	68.7	107.9	-0.65
TNFAIP8	8.4e-10	7.4	11.6	-0.65
CLIC4	7.3e-13	138.3	216.8	-0.65
PECR	1.1e-08	13.3	20.9	-0.65
MTMR9	q<=5.0e-20	5.8	9.2	-0.65
SLC39A3	q<=5.0e-20	16.5	10.5	0.65
FBXO48	1.3e-16	2.8	4.5	-0.65
ZNF587	q<=5.0e-20	13.6	8.7	0.65
SNTA1	3.4e-08	22.7	35.6	-0.65
KAZALD1	q<=5.0e-20	12.3	7.9	0.65
TLR1	9.4e-06	8.3	13.0	-0.65
NR2C1	q<=5.0e-20	15.1	23.7	-0.65
MIR559	7.1e-05	1.7	1.1	0.65
SPI1	2.0e-07	38.0	24.1	0.65
PSPH	q<=5.0e-20	19.5	12.4	0.65
FHIP2A	3.9e-14	21.7	34.1	-0.65
KCNC3	5.6e-05	3.0	4.7	-0.65
P3H1	q<=5.0e-20	42.2	26.9	0.65
KLHL24	2.3e-13	21.1	33.0	-0.65
GPATCH2L	1.8e-12	15.6	24.4	-0.65
ABCA3	q<=5.0e-20	35.9	22.9	0.65
MLXIP	q<=5.0e-20	24.5	38.5	-0.65
ITPA	q<=5.0e-20	101.8	65.0	0.65
BBS7	q<=5.0e-20	9.6	15.0	-0.65
SRD5A3	q<=5.0e-20	20.2	12.9	0.65
TRIM6	8.8e-11	4.5	7.0	-0.65
C8orf76	q<=5.0e-20	5.5	3.5	0.65
SPDL1	q<=5.0e-20	9.7	6.2	0.65
OTUD7A	2.6e-17	1.0	1.6	-0.65
KCTD10	q<=5.0e-20	55.8	87.4	-0.65
CCDC85A	6.6e-11	1.0	1.6	-0.65
HPX	8.6e-17	12.4	7.9	0.65
BDNF-AS	3.2e-16	4.3	6.7	-0.65
CYP4V2	3.3e-12	14.2	22.3	-0.65
ST3GAL4	q<=5.0e-20	42.8	27.4	0.64
ATP13A2	q<=5.0e-20	47.2	30.4	0.64
MIR4635	1.3e-07	2.6	1.7	0.64
MMP17	q<=5.0e-20	6.7	4.3	0.64
CAST	q<=5.0e-20	107.7	168.3	-0.64
LTC4S	4.4e-04	6.2	9.6	-0.64
CHURC1	q<=5.0e-20	34.8	54.1	-0.64
CCDC102A	2.3e-10	6.8	10.6	-0.64
ZNF787	q<=5.0e-20	33.5	21.6	0.64
MIR3667HG	6.3e-04	1.1	1.7	-0.64
PIK3C2A	1.8e-09	24.7	38.4	-0.64
MSI2	q<=5.0e-20	73.2	47.0	0.64
POLD1	q<=5.0e-20	15.1	9.7	0.64
TMEM18	q<=5.0e-20	10.0	15.5	-0.64
SPR	q<=5.0e-20	89.7	57.6	0.64
AOPEP	4.7e-08	15.1	23.6	-0.64
RAB40B	4.9e-17	12.4	19.3	-0.64
GLIS2	q<=5.0e-20	17.6	11.3	0.64
SPATA33	q<=5.0e-20	13.6	8.7	0.64
ZFP41	q<=5.0e-20	7.4	4.7	0.64
GLIPR1	1.8e-11	8.2	12.8	-0.64
ACBD6	q<=5.0e-20	45.2	29.1	0.64
AAGAB	q<=5.0e-20	68.7	44.1	0.64
LAT2	q<=5.0e-20	17.4	11.2	0.64
VPS37C	q<=5.0e-20	55.5	35.6	0.64
TAPBP	q<=5.0e-20	255.0	163.5	0.64
C17orf100	5.7e-06	3.4	5.3	-0.64
ZFP28	q<=5.0e-20	6.2	9.6	-0.64
AQP3	8.8e-05	33.8	52.8	-0.64
ESRP2	q<=5.0e-20	39.5	25.3	0.64
KCTD17	q<=5.0e-20	18.0	11.5	0.64
RNASEH1	q<=5.0e-20	15.3	23.8	-0.64
UNC93B1	q<=5.0e-20	48.3	31.0	0.64
ARMCX1	q<=5.0e-20	35.7	55.7	-0.64
LINC00467	q<=5.0e-20	46.2	29.7	0.64
FAM222A	q<=5.0e-20	5.8	3.7	0.64
PARP3	q<=5.0e-20	24.0	37.5	-0.64
SPTLC3	2.3e-08	6.2	9.6	-0.64
ATAD5	q<=5.0e-20	2.9	1.9	0.64
FIBP	q<=5.0e-20	114.2	73.5	0.64
GMPPA	q<=5.0e-20	74.3	47.7	0.64
PPP2R3A	2.1e-04	12.9	20.2	-0.64
HES4	q<=5.0e-20	14.4	9.2	0.64
DDX3X	q<=5.0e-20	200.4	312.0	-0.64
BANF1	q<=5.0e-20	337.4	217.2	0.64
PRKCZ-AS1	4.0e-05	3.3	5.2	-0.64
SMAD3	1.2e-18	26.9	41.9	-0.64
NHP2	q<=5.0e-20	111.7	71.7	0.64
DPEP1	q<=5.0e-20	1.6	1.0	0.64
KIDINS220	q<=5.0e-20	36.5	56.8	-0.64
GPR19	q<=5.0e-20	1.6	1.0	0.64
SMPDL3B	8.7e-20	14.2	9.1	0.64
PDIA3	q<=5.0e-20	442.2	283.5	0.64
C12orf54	1.3e-11	1.0	1.6	-0.64
POLI	7.1e-14	14.3	22.3	-0.64
NCCRP1	1.5e-12	2.3	3.6	-0.64
SERF2	q<=5.0e-20	177.5	114.1	0.64
EXOSC5	q<=5.0e-20	55.6	35.8	0.64
CTU1	q<=5.0e-20	2.9	1.8	0.64
SFRP2	3.3e-19	541.9	347.4	0.64
IL1RN	3.9e-05	15.9	10.2	0.64
IQSEC1	q<=5.0e-20	31.9	49.8	-0.64
LMAN2	q<=5.0e-20	283.0	181.5	0.64
CCND1	q<=5.0e-20	199.8	128.7	0.64
GMPPB	q<=5.0e-20	27.5	17.7	0.64
UBE2E2	2.0e-17	17.7	27.5	-0.64
VPS28	q<=5.0e-20	312.4	200.2	0.64
P4HTM	q<=5.0e-20	57.7	37.1	0.64
PSEN2	q<=5.0e-20	40.2	25.9	0.64
SSR4	q<=5.0e-20	547.1	350.5	0.64
DPY30	q<=5.0e-20	147.8	94.6	0.64
SHMT2	q<=5.0e-20	96.2	61.5	0.64
ZNF519	9.3e-05	1.7	2.6	-0.64
CCDC106	q<=5.0e-20	25.4	16.3	0.64
CDCA7L	3.1e-05	12.3	19.1	-0.64
BPNT1	q<=5.0e-20	60.0	38.6	0.64
IFI35	q<=5.0e-20	82.0	52.5	0.64
PSKH1	q<=5.0e-20	21.4	33.4	-0.64
PSMB4	q<=5.0e-20	666.2	427.8	0.64
UBAP2L	q<=5.0e-20	167.7	107.5	0.64
SPATA7	q<=5.0e-20	11.6	17.9	-0.63
ABCG1	q<=5.0e-20	44.4	28.6	0.63
C7orf50	q<=5.0e-20	107.6	69.4	0.63
ZFP90	q<=5.0e-20	19.5	30.2	-0.63
SLX4	q<=5.0e-20	5.1	3.3	0.63
BBIP1	2.8e-07	11.5	17.9	-0.63
NHLRC2	5.0e-15	9.6	14.9	-0.63
C1orf56	q<=5.0e-20	13.4	8.7	0.63
CYB5D2	3.2e-19	35.9	55.5	-0.63
STAMBPL1	9.6e-09	5.7	8.8	-0.63
SPATA6	7.9e-12	8.3	12.8	-0.63
SUN1	q<=5.0e-20	77.3	119.5	-0.63
RAB11FIP3	q<=5.0e-20	38.8	25.1	0.63
SH3BP1	q<=5.0e-20	5.0	3.2	0.63
LHFPL2	1.3e-11	36.3	56.1	-0.63
TAGLN2	q<=5.0e-20	1239.4	798.4	0.63
RBM43	1.0e-14	10.0	15.5	-0.63
TBC1D14	2.2e-16	16.0	24.7	-0.63
CENPW	q<=5.0e-20	10.7	6.9	0.63
SEC61A2	q<=5.0e-20	10.6	6.9	0.63
ARMT1	q<=5.0e-20	83.0	53.7	0.63
TMEM14A	q<=5.0e-20	80.4	51.9	0.63
KDSR	q<=5.0e-20	40.9	63.2	-0.63
DKK1	1.7e-15	1.0	1.5	-0.63
KIF20B	q<=5.0e-20	8.2	5.3	0.63
RCN3	q<=5.0e-20	68.2	44.0	0.63
FAN1	3.0e-11	15.2	23.5	-0.63
KLHL5	1.5e-06	10.3	16.0	-0.63
MLST8	q<=5.0e-20	63.8	41.2	0.63
AKR1B1	3.7e-11	55.8	86.2	-0.63
UQCRQ	q<=5.0e-20	109.7	71.0	0.63
PNCK	q<=5.0e-20	1.5	1.0	0.63
WDR18	q<=5.0e-20	40.8	26.4	0.63
FAM218A	5.0e-04	1.0	1.5	-0.63
SH3BP2	1.6e-11	15.1	23.3	-0.63
FAM234B	2.5e-16	31.8	20.5	0.63
EVI5	1.9e-14	6.7	10.4	-0.63
ST14	q<=5.0e-20	118.8	76.9	0.63
DOCK7	3.4e-11	18.6	28.9	-0.63
SHKBP1	q<=5.0e-20	60.8	39.2	0.63
ATG2B	1.4e-16	9.3	14.3	-0.63
AGO3	3.9e-10	3.7	5.7	-0.63
GPHN	3.1e-08	12.9	20.0	-0.63
TSSK6	q<=5.0e-20	3.1	2.0	0.63
ABHD5	1.2e-12	23.0	35.6	-0.63
SGTB	5.3e-14	4.1	6.3	-0.63
ITPRIP	3.3e-13	10.7	16.6	-0.63
P3H3	q<=5.0e-20	33.1	21.4	0.63
STX2	2.5e-10	10.3	16.0	-0.63
C20orf204	q<=5.0e-20	1.5	1.0	0.63
APH1B	1.1e-12	15.2	23.6	-0.63
GRHL1	2.3e-04	29.5	45.6	-0.63
PDCL3	q<=5.0e-20	68.5	44.4	0.63
LRRC28	q<=5.0e-20	5.4	8.3	-0.63
USF3	1.1e-10	12.7	19.7	-0.63
HERC2	3.2e-15	15.5	24.0	-0.63
PPP2CB	q<=5.0e-20	99.8	154.3	-0.63
MAD2L2	q<=5.0e-20	64.5	41.6	0.63
ZDHHC16	q<=5.0e-20	66.8	43.2	0.63
TCF3	q<=5.0e-20	54.2	35.1	0.63
SPEN	6.7e-17	22.3	34.5	-0.63
SNRPC	q<=5.0e-20	230.2	149.5	0.62
ATOX1	q<=5.0e-20	299.8	194.4	0.62
ERH	q<=5.0e-20	300.4	194.9	0.62
PACSIN3	6.5e-13	50.3	32.8	0.62
AIMP2	q<=5.0e-20	28.4	18.4	0.62
MEN1	q<=5.0e-20	47.7	31.0	0.62
HS3ST1	6.3e-08	1.6	2.5	-0.62
PVALB	2.1e-12	1.5	1.0	0.62
HOXC4	q<=5.0e-20	9.4	6.1	0.62
THOC3	q<=5.0e-20	38.5	25.0	0.62
TBC1D10B	q<=5.0e-20	56.9	37.0	0.62
FAM174B	q<=5.0e-20	71.5	46.4	0.62
ATP2B1	5.0e-13	21.5	33.0	-0.62
NECTIN4	q<=5.0e-20	57.5	37.4	0.62
GCH1	q<=5.0e-20	19.4	12.6	0.62
SRF	8.6e-14	43.0	66.2	-0.62
BTBD7	2.1e-17	16.5	25.3	-0.62
FBXO46	q<=5.0e-20	25.9	16.9	0.62
ACTN1	5.1e-12	219.9	339.0	-0.62
SNX29	2.4e-17	17.8	27.3	-0.62
STYXL1	q<=5.0e-20	82.6	53.7	0.62
RNF144A	1.7e-08	15.7	24.1	-0.62
COPA	q<=5.0e-20	233.6	152.5	0.62
UVRAG	6.2e-11	19.5	29.9	-0.62
SPINT1	q<=5.0e-20	185.8	121.1	0.62
CSF1R	4.9e-06	35.3	54.2	-0.62
PPP3CA	1.3e-11	37.0	56.8	-0.62
CREB3L2	8.1e-09	52.6	80.6	-0.62
UBE2M	q<=5.0e-20	135.0	87.8	0.62
MIR3153	5.9e-08	1.5	1.0	0.62
SNX20	2.9e-17	5.7	3.7	0.62
NFE2L2	q<=5.0e-20	104.6	161.2	-0.62
TIAF1	3.0e-04	2.2	3.3	-0.62
TBKBP1	3.7e-18	6.6	10.1	-0.62
SLC5A3	3.8e-05	8.8	13.6	-0.62
MYO1C	1.9e-12	140.5	215.5	-0.62
NDUFB11	q<=5.0e-20	208.9	135.7	0.62
SIGLEC9	1.2e-05	4.4	2.8	0.62
AGTRAP	q<=5.0e-20	115.4	74.9	0.62
SEC24D	q<=5.0e-20	65.2	42.4	0.62
CYB561D1	3.4e-18	8.0	12.3	-0.62
MORF4L2	q<=5.0e-20	439.6	286.7	0.62
ACYP2	q<=5.0e-20	22.5	34.6	-0.62
MAML3	1.2e-13	6.8	10.5	-0.62
ZNF404	6.3e-08	3.9	6.1	-0.62
LSM14B	q<=5.0e-20	66.5	43.3	0.62
SMIM8	2.7e-17	9.0	13.9	-0.62
ACADM	3.6e-12	58.7	90.3	-0.62
RBM5	1.0e-15	52.8	81.0	-0.62
CD86	2.3e-16	11.2	7.3	0.62
ZNF454	4.9e-06	1.0	1.5	-0.62
KDM7A	1.0e-07	10.6	16.2	-0.62
CDC25B	q<=5.0e-20	44.5	28.9	0.62
BBX	5.7e-12	24.8	38.2	-0.62
TBC1D9	q<=5.0e-20	176.3	115.0	0.62
GUK1	q<=5.0e-20	453.9	296.0	0.62
RPS6KB2	q<=5.0e-20	41.5	27.0	0.62
VPS51	5.4e-14	49.1	75.6	-0.62
CRYM	9.2e-07	1.1	1.8	-0.62
TMEM178B	2.1e-04	1.0	1.5	-0.62
MEGF8	5.4e-15	13.0	19.9	-0.62
ZNF507	2.6e-13	10.0	15.3	-0.62
GET3	q<=5.0e-20	154.1	100.3	0.62
GPC4	q<=5.0e-20	25.3	16.4	0.62
LINC01273	2.4e-07	1.0	1.5	-0.62
SPATS2	q<=5.0e-20	32.2	21.0	0.62
NR2C2	1.8e-11	14.2	21.8	-0.62
EEF1AKMT3	2.2e-17	11.8	18.1	-0.62
BLOC1S3	q<=5.0e-20	22.7	14.8	0.62
FCGRT	2.1e-09	199.2	306.6	-0.62
ARHGEF7	q<=5.0e-20	31.4	48.4	-0.62
TPRG1L	q<=5.0e-20	75.6	116.0	-0.62
PRKG1	3.5e-06	4.6	7.1	-0.62
PHKB	1.6e-11	38.9	60.0	-0.62
MMGT1	q<=5.0e-20	18.4	28.3	-0.62
PKN2	7.2e-16	26.8	41.3	-0.62
GBA	q<=5.0e-20	90.5	58.7	0.62
PRELID3A	q<=5.0e-20	5.3	3.5	0.62
MREG	1.3e-12	37.7	24.6	0.61
KLHDC8B	3.3e-17	32.9	50.1	-0.61
C2CD2L	q<=5.0e-20	13.0	8.5	0.61
PPAT	q<=5.0e-20	16.4	10.8	0.61
FLT3	4.8e-13	1.8	1.2	0.61
PKD1P6-NPIPP1	7.9e-13	6.6	10.1	-0.61
MRPL58	q<=5.0e-20	71.1	46.7	0.61
UBL5	q<=5.0e-20	599.9	392.2	0.61
ERGIC1	q<=5.0e-20	315.4	206.7	0.61
RDH10	6.2e-06	14.7	22.4	-0.61
CORO1C	7.4e-15	70.8	108.2	-0.61
RHNO1	q<=5.0e-20	44.6	29.3	0.61
SUCO	q<=5.0e-20	55.7	36.4	0.61
SMAD4	q<=5.0e-20	19.8	30.3	-0.61
INTS8	q<=5.0e-20	27.1	17.8	0.61
DUSP2	8.6e-04	11.4	17.3	-0.61
GAB1	1.9e-11	12.9	19.8	-0.61
OXR1	3.5e-10	35.5	54.1	-0.61
RPL4	q<=5.0e-20	1101.1	1675.5	-0.61
LINC02381	1.1e-16	19.7	30.1	-0.61
RPS6	2.7e-13	2690.7	4103.3	-0.61
RGS14	q<=5.0e-20	19.6	12.8	0.61
CCDC88C	q<=5.0e-20	23.0	15.1	0.61
CCDC25	q<=5.0e-20	27.3	41.7	-0.61
DDRGK1	q<=5.0e-20	121.4	79.7	0.61
NIPAL2	5.1e-06	18.8	28.6	-0.61
ZNF675	3.6e-14	16.5	10.8	0.61
RNF214	q<=5.0e-20	10.6	16.1	-0.61
UFC1	q<=5.0e-20	346.2	226.2	0.61
INPP5K	q<=5.0e-20	37.6	57.5	-0.61
DNAJA4	q<=5.0e-20	46.5	30.5	0.61
BZW2	q<=5.0e-20	130.7	85.4	0.61
ARF5	q<=5.0e-20	241.8	158.7	0.61
UFSP1	q<=5.0e-20	3.8	2.5	0.61
ENG	1.7e-12	89.8	136.7	-0.61
MUC5B	q<=5.0e-20	2.2	1.4	0.61
FARP1	q<=5.0e-20	32.5	21.3	0.61
FGD1	q<=5.0e-20	6.4	4.2	0.61
C19orf38	1.6e-15	3.4	2.3	0.61
LIG3	q<=5.0e-20	22.4	14.7	0.61
PHPT1	q<=5.0e-20	172.9	113.6	0.61
PRR14	q<=5.0e-20	60.7	39.7	0.61
HELQ	q<=5.0e-20	8.4	12.8	-0.61
INCENP	q<=5.0e-20	14.7	9.6	0.61
PRIM2	q<=5.0e-20	25.7	16.8	0.61
NDUFAB1	q<=5.0e-20	217.5	142.8	0.61
GSR	q<=5.0e-20	62.0	40.6	0.61
CENPC	1.0e-15	9.6	14.6	-0.61
E2F3	q<=5.0e-20	15.1	9.9	0.61
APLNR	1.3e-07	35.5	54.3	-0.61
TYW3	q<=5.0e-20	17.6	27.0	-0.61
EFS	1.2e-06	32.0	48.8	-0.61
STIM2	q<=5.0e-20	15.0	22.8	-0.61
NDUFS8	q<=5.0e-20	226.9	148.3	0.61
LEO1	q<=5.0e-20	47.8	31.3	0.61
MIR3654	1.8e-07	88.8	135.8	-0.61
CD5	1.1e-15	4.0	2.6	0.61
SNRPF	q<=5.0e-20	78.4	51.5	0.61
GNB2	q<=5.0e-20	370.2	243.2	0.61
CCDC28B	4.2e-13	10.4	6.8	0.61
NR2C2AP	q<=5.0e-20	42.8	28.1	0.61
PPP1R3B	6.1e-09	28.7	43.8	-0.61
MACF1	2.4e-06	111.7	171.0	-0.61
BCAT2	q<=5.0e-20	60.0	39.2	0.61
ITGB2	1.1e-05	67.3	44.2	0.61
SLC14A2	4.0e-06	1.0	1.5	-0.61
VWA8	1.7e-10	16.6	25.2	-0.61
ZP3	q<=5.0e-20	11.8	7.7	0.61
PIK3C2B	2.2e-17	14.7	22.4	-0.61
ZNF292	2.9e-07	10.5	16.0	-0.61
C4orf3	q<=5.0e-20	118.1	180.7	-0.61
ZRANB1	7.2e-20	8.7	13.3	-0.61
NEK3	2.1e-19	10.2	15.6	-0.61
IDH1	5.2e-08	107.5	164.6	-0.61
CNOT6L	1.5e-11	17.1	26.1	-0.61
IL17RE	8.4e-06	15.7	24.1	-0.61
PTPN11	1.3e-14	72.1	110.2	-0.61
SLCO2B1	1.4e-04	24.1	36.7	-0.61
ESYT2	3.8e-19	72.1	109.7	-0.61
RRP12	q<=5.0e-20	30.6	20.2	0.60
ARID3A	1.9e-19	5.0	3.3	0.60
STAP2	q<=5.0e-20	66.3	43.7	0.60
PITPNC1	2.3e-09	8.6	13.1	-0.60
CD9	q<=5.0e-20	843.2	556.6	0.60
FERMT3	6.4e-07	19.2	12.6	0.60
WEE2-AS1	4.0e-08	2.4	3.7	-0.60
FCRLB	7.6e-09	1.8	1.2	0.60
BYSL	q<=5.0e-20	38.2	25.3	0.60
ANKRD13D	q<=5.0e-20	44.5	29.4	0.60
GINM1	q<=5.0e-20	62.0	94.3	-0.60
ELL2	5.0e-07	24.1	36.6	-0.60
BTN3A1	2.2e-07	25.7	39.0	-0.60
HFE	2.9e-12	9.6	14.6	-0.60
CAPN10-DT	1.2e-17	1.5	1.0	0.60
IL15	2.9e-05	3.7	5.6	-0.60
KRTCAP2	q<=5.0e-20	15.5	10.2	0.60
EMC10	q<=5.0e-20	27.6	18.2	0.60
OSTM1	4.5e-11	18.0	27.3	-0.60
EXOC6B	2.8e-17	16.6	25.2	-0.60
BMPR2	1.2e-13	29.3	44.3	-0.60
MIR3176	7.8e-12	2.2	1.5	0.60
SNORD14E	9.7e-05	4.5	3.0	0.60
ST6GALNAC5	2.3e-05	3.7	5.7	-0.60
ZNF436	1.4e-18	27.1	41.1	-0.60
CEP162	8.7e-13	5.7	8.6	-0.60
VILL	5.3e-08	7.6	11.5	-0.60
SYAP1	q<=5.0e-20	58.9	39.0	0.60
CCDC87	q<=5.0e-20	1.5	1.0	0.60
ARHGAP44	8.0e-04	4.2	6.4	-0.60
TMLHE	1.0e-19	9.6	14.5	-0.60
RPL3	8.9e-13	3954.7	5990.5	-0.60
DLEU7	2.2e-18	2.0	1.3	0.60
CCDC107	1.4e-05	3.3	5.1	-0.60
THAP7-AS1	5.2e-07	2.7	4.1	-0.60
DNALI1	4.4e-15	42.4	28.1	0.60
AKAP5	q<=5.0e-20	2.8	1.8	0.60
